Parallax,"""星察"""
Vericres,"""真月武扇"""
Gaze (Primary),"""凝目（主要）"""
Rattleguts (Primary),"""响胆（主要）"""
Tombfinger (Primary),"""墓指（主要）"""
Vermisplicer (Primary),"""虫置（主要）"""
Sporelacer (Primary),"""孢射（主要）"""
Zaw Machete / Polearm,"""大砍刀/长柄"""
Zaw Scythe / Staff,"""镰刀/长棍"""
Zaw Rapier / Polearm,"""细剑/长柄"""
Zaw Nikana / Staff,"""侍刃/长棍"""
Zaw Sword / Polearm,"""剑/长柄"""
Zaw Scythe / Heavy Blade,"""镰刀/巨刃"""
Zaw Sword / Staff,"""剑/长棍"""
Zaw Machete / Hammer,"""大砍刀/锤"""
Zaw Dagger / Staff,"""匕首/长棍"""
Thermal Transfer,"""热能传递"""
Dormizone,"""居住舱"""
Argozene,"""氩烯"""
Zariman (Tileset),"""扎里曼号"""
Gourmand,"""美食家"""
Surging Blades,"""涌流之刃"""
Biting Frost,"""刺骨寒霜"""
Narmer Isoplast,"""合一众塑讯块"""
Narmer Powerfist,"""合一众重击手"""
Narmer Shield Lancer,"""合一众盾枪兵"""
Narmer Ballista,"""合一众弩炮"""
Narmer Hellion,"""合一众恶徒"""
Narmer Lancer,"""合一众枪兵"""
Narmer Scorpion,"""合一众天蝎"""
Narmer Scorch,"""合一众怒焚者"""
Narmer Trooper,"""合一众骑兵"""
Narmer Bombard,"""合一众轰击者"""
Narmer Commander,"""合一众指挥官"""
Narmer Heavy Gunner,"""合一众重型机枪手"""
Narmer Napalm,"""合一众火焰轰击者"""
Narmer Firbolg,"""合一众博格"""
Narmer Bolkor,"""合一众博寇"""
Narmer Crewman,"""合一众船员"""
Narmer Detron Crewman,"""合一众德特昂船员"""
Narmer Jailer,"""合一众狱吏"""
Narmer Nullifier Crewman,"""合一众虚能船员"""
Narmer Prod Crewman,"""合一众监工船员"""
Narmer Sniper Crewman,"""合一众狙击手船员"""
Narmer Tech,"""合一众Corpus技师"""
Narmer Dera MOA,"""合一众德拉恐鸟"""
Narmer Disc MOA,"""合一众圆盘恐鸟"""
Narmer Geminex MOA,"""合一众双子炮恐鸟"""
Narmer Glaxion MOA,"""合一众冷冻光束步枪恐鸟"""
Narmer Raknoid,"""合一众蛛形机"""
Narmer Leech Osprey,"""合一众吸血鱼鹰"""
Narmer Mine Osprey,"""合一众地雷鱼鹰"""
Narmer Sapping Osprey,"""合一众基蚀鱼鹰"""
Narmer Shield Osprey,"""合一众护盾鱼鹰"""
Narmer Dropship,"""合一众空投挺"""
Amar's Anguish,"""欺谋狼主之苦"""
Amar's Hatred,"""欺谋狼主之恨"""
Amar's Contempt,"""欺谋狼主之鄙"""
Boreal's Anguish,"""诡文枭主之苦"""
Boreal's Hatred,"""诡文枭主之恨"""
Boreal's Contempt,"""诡文枭主之鄙"""
Nira's Anguish,"""混沌蛇主之苦"""
Nira's Hatred,"""混沌蛇主之恨"""
Nira's Contempt,"""混沌蛇主之鄙"""
The Relentless Lost,"""无情失落"""
Vampiric Grasp,"""血吸之握"""
Champion's Blessing,"""强者祝福"""
Swift Bite,"""迅猛之咬"""
Void Storm (Venus),"""虚空风暴（金星比邻星域）"""
Void Storm (Saturn),"""虚空风暴（土星比邻星域）"""
Void Storm (Pluto),"""虚空风暴（冥王星比邻星域）"""
Void Storm (Neptune),"""虚空风暴（海王星比邻星域）"""
Void Storm (Veil Proxima),"""虚空风暴（面纱）"""
Void Storm (Earth),"""虚空风暴（地球）"""
Orphid Husks,"""兰花外皮"""
Tau Damage,"""Tau伤害"""
Grendel Glutt Helmet,"""Grendel暴食头盔"""
Protea Telema Helmet,"""Protea遥测头盔"""
Protea Mavv Helmet,"""Protea面甲头盔"""
Regular Lens,"""普通专精晶体"""
Verglas,"""冰凇"""
Zetki Engines Mk I,"""Zetki引擎 Mk I"""
Zetki Plating Mk I,"""Zetki装甲 Mk I"""
Zetki Reactor Mk I,"""Zetki反应堆 Mk I"""
Zetki Shield Array Mk I,"""Zetki护盾阵列 Mk I"""
Zetki Photor Mk I,"""Zetki光子聚熔炮 Mk I"""
Zetki Apoc Mk I,"""Zetki天启炮台 Mk I"""
Zetki Cryophon Mk I,"""Zetki急冻粒子炮 Mk I"""
Zetki Carcinnox Mk I,"""Zetki毒液穿甲炮 Mk I"""
Zetki Pulsar Mk I,"""Zetki脉冲星 Mk I"""
Zetki Vort Mk I,"""Zetki威电炮台 Mk I"""
Zetki Glazio Mk I,"""Zetki冰导炮台 Mk I"""
Zetki Talyn Mk I,"""Zetki锐透穿甲炮 Mk I"""
Zetki Laith Mk I,"""Zetki裂撕削甲炮 Mk I"""
Zetki Engines Mk Ii,"""Zetki引擎 Mk II"""
Zetki Plating Mk Ii,"""Zetki装甲 Mk II"""
Zetki Reactor Mk Ii,"""Zetki反应堆 Mk II"""
Zetki Shield Array Mk Ii,"""Zetki护盾阵列 Mk II"""
Zetki Photor Mk Ii,"""Zetki光子聚熔炮 Mk II"""
Zetki Apoc Mk Ii,"""Zetki天启炮台 Mk II"""
Zetki Cryophon Mk Ii,"""Zetki急冻粒子炮 Mk II"""
Zetki Carcinnox Mk Ii,"""Zetki毒液穿甲炮 Mk II"""
Zetki Pulsar Mk Ii,"""Zetki脉冲星 Mk II"""
Zetki Vort Mk Ii,"""Zetki威电炮台 Mk II"""
Zetki Glazio Mk Ii,"""Zetki冰导炮台 Mk II"""
Zetki Talyn Mk Ii,"""Zetki锐透穿甲炮 Mk II"""
Zetki Laith Mk Ii,"""Zetki裂撕削甲炮 Mk II"""
Zetki Engines Mk Iii,"""Zetki引擎 Mk III"""
Zetki Plating Mk Iii,"""Zetki装甲 Mk III"""
Zetki Reactor Mk Iii,"""Zetki反应堆 Mk III"""
Zetki Shield Array Mk Iii,"""Zetki护盾阵列 Mk III"""
Zetki Photor Mk Iii,"""Zetki光子聚熔炮 Mk III"""
Zetki Apoc Mk Iii,"""Zetki天启炮台 Mk III"""
Zetki Cryophon Mk Iii,"""Zetki急冻粒子炮 Mk III"""
Zetki Carcinnox Mk Iii,"""Zetki毒液穿甲炮 Mk III"""
Zetki Pulsar Mk Iii,"""Zetki脉冲星 Mk III"""
Zetki Vort Mk Iii,"""Zetki威电炮台 Mk III"""
Zetki Glazio Mk Iii,"""Zetki冰导炮台 Mk III"""
Zetki Talyn Mk Iii,"""Zetki锐透穿甲炮 Mk III"""
Zetki Laith Mk Iii,"""Zetki裂撕削甲炮 Mk III"""
Sigma Engines Mk I,"""Sigma引擎 Mk I"""
Sigma Plating Mk I,"""Sigma装甲 Mk I"""
Sigma Reactor Mk I,"""Sigma反应堆 Mk I"""
Sigma Shield Array Mk I,"""Sigma护盾阵列 Mk I"""
Sigma Photor Mk I,"""Sigma光子聚熔炮 Mk I"""
Sigma Apoc Mk I,"""Sigma天启炮台 Mk I"""
Sigma Cryophon Mk I,"""Sigma急冻粒子炮 Mk I"""
Sigma Carcinnox Mk I,"""Sigma毒液穿甲炮 Mk I"""
Sigma Pulsar Mk I,"""Sigma脉冲星 Mk I"""
Sigma Vort Mk I,"""Sigma威电炮台 Mk I"""
Sigma Glazio Mk I,"""Sigma冰导炮台 Mk I"""
Sigma Talyn Mk I,"""Sigma锐透穿甲炮 Mk I"""
Sigma Laith Mk I,"""Sigma裂撕削甲炮 Mk I"""
Sigma Engines Mk Ii,"""Sigma引擎 Mk II"""
Sigma Plating Mk Ii,"""Sigma装甲 Mk II"""
Sigma Reactor Mk Ii,"""Sigma反应堆 Mk II"""
Sigma Shield Array Mk Ii,"""Sigma护盾阵列 Mk II"""
Sigma Photor Mk Ii,"""Sigma光子聚熔炮 Mk II"""
Sigma Apoc Mk Ii,"""Sigma天启炮台 Mk II"""
Sigma Cryophon Mk Ii,"""Sigma急冻粒子炮 Mk II"""
Sigma Carcinnox Mk Ii,"""Sigma毒液穿甲炮 Mk II"""
Sigma Pulsar Mk Ii,"""Sigma脉冲星 Mk II"""
Sigma Vort Mk Ii,"""Sigma威电炮台 Mk II"""
Sigma Glazio Mk Ii,"""Sigma冰导炮台 Mk II"""
Sigma Talyn Mk Ii,"""Sigma锐透穿甲炮 Mk II"""
Sigma Laith Mk Ii,"""Sigma裂撕削甲炮 Mk II"""
Sigma Engines Mk Iii,"""Sigma引擎 Mk III"""
Sigma Plating Mk Iii,"""Sigma装甲 Mk III"""
Sigma Reactor Mk Iii,"""Sigma反应堆 Mk III"""
Sigma Shield Array Mk Iii,"""Sigma护盾阵列 Mk III"""
Sigma Photor Mk Iii,"""Sigma光子聚熔炮 Mk III"""
Sigma Apoc Mk Iii,"""Sigma天启炮台 Mk III"""
Sigma Cryophon Mk Iii,"""Sigma急冻粒子炮 Mk III"""
Sigma Carcinnox Mk Iii,"""Sigma毒液穿甲炮 Mk III"""
Sigma Pulsar Mk Iii,"""Sigma脉冲星 Mk III"""
Sigma Vort Mk Iii,"""Sigma威电炮台 Mk III"""
Sigma Glazio Mk Iii,"""Sigma冰导炮台 Mk III"""
Sigma Talyn Mk Iii,"""Sigma锐透穿甲炮 Mk III"""
Sigma Laith Mk Iii,"""Sigma裂撕削甲炮 Mk III"""
Lavan Engines Mk I,"""Lavan引擎 Mk I"""
Lavan Plating Mk I,"""Lavan装甲 Mk I"""
Lavan Reactor Mk I,"""Lavan反应堆 Mk I"""
Lavan Shield Array Mk I,"""Lavan护盾阵列 Mk I"""
Lavan Photor Mk I,"""Lavan光子聚熔炮 Mk I"""
Lavan Apoc Mk I,"""Lavan天启炮台 Mk I"""
Lavan Cryophon Mk I,"""Lavan急冻粒子炮 Mk I"""
Lavan Carcinnox Mk I,"""Lavan毒液穿甲炮 Mk I"""
Lavan Pulsar Mk I,"""Lavan脉冲星 Mk I"""
Lavan Vort Mk I,"""Lavan威电炮台 Mk I"""
Lavan Glazio Mk I,"""Lavan冰导炮台 Mk I"""
Lavan Talyn Mk I,"""Lavan锐透穿甲炮 Mk I"""
Lavan Laith Mk I,"""Lavan裂撕削甲炮 Mk I"""
Lavan Engines Mk Ii,"""Lavan引擎 Mk II"""
Lavan Plating Mk Ii,"""Lavan装甲 Mk II"""
Lavan Reactor Mk Ii,"""Lavan反应堆 Mk II"""
Lavan Shield Array Mk Ii,"""Lavan护盾阵列 Mk II"""
Lavan Photor Mk Ii,"""Lavan光子聚熔炮 Mk II"""
Lavan Apoc Mk Ii,"""Lavan天启炮台 Mk II"""
Lavan Cryophon Mk Ii,"""Lavan急冻粒子炮 Mk II"""
Lavan Carcinnox Mk Ii,"""Lavan毒液穿甲炮 Mk II"""
Lavan Pulsar Mk Ii,"""Lavan脉冲星 Mk II"""
Lavan Vort Mk Ii,"""Lavan威电炮台 Mk II"""
Lavan Glazio Mk Ii,"""Lavan冰导炮台 Mk II"""
Lavan Talyn Mk Ii,"""Lavan锐透穿甲炮 Mk II"""
Lavan Laith Mk Ii,"""Lavan裂撕削甲炮 Mk II"""
Lavan Engines Mk Iii,"""Lavan引擎 Mk III"""
Lavan Plating Mk Iii,"""Lavan装甲 Mk III"""
Lavan Reactor Mk Iii,"""Lavan反应堆 Mk III"""
Lavan Shield Array Mk Iii,"""Lavan护盾阵列 Mk III"""
Lavan Photor Mk Iii,"""Lavan光子聚熔炮 Mk III"""
Lavan Apoc Mk Iii,"""Lavan天启炮台 Mk III"""
Lavan Cryophon Mk Iii,"""Lavan急冻粒子炮 Mk III"""
Lavan Carcinnox Mk Iii,"""Lavan毒液穿甲炮 Mk III"""
Lavan Pulsar Mk Iii,"""Lavan脉冲星 Mk III"""
Lavan Vort Mk Iii,"""Lavan威电炮台 Mk III"""
Lavan Glazio Mk Iii,"""Lavan冰导炮台 Mk III"""
Lavan Talyn Mk Iii,"""Lavan锐透穿甲炮 Mk III"""
Lavan Laith Mk Iii,"""Lavan裂撕削甲炮 Mk III"""
Vidar Engines Mk I,"""Vidar引擎 Mk I"""
Vidar Plating Mk I,"""Vidar装甲 Mk I"""
